filepath|weather|severity
/data/MWSC/data/all/Clear/HT_VAL_000576_SZ_000.jpg|['Clear']|['Light']
/data/MWSC/data/all/Snowy/GP010607_frame_000995_rgb_anon.png|['Snowy']|['Moderate']
/data/MWSC/data/all/Clear/002_L_3188.png|['Clear']|['Light']
/data/MWSC/data/all/Snowy/GOPR0606_frame_000994_rgb_anon.png|['Rainy', 'Snowy']|['Moderate']
/data/MWSC/data/all/Clear/HT_TRAIN_002756_SH_000.jpg|['Clear']|['Light']
/data/MWSC/data/all/Rainy/HT_TEST_000192_SH_012.jpg|['Rainy']|['Light']
/data/MWSC/data/all/Rainy/013_L_3859.png|['Rainy']|['Light']
/data/MWSC/data/all/Foggy/2018-10-08_08-27-03_00000.png|['Foggy']|['Moderate']
/data/MWSC/data/all/Snowy/019_L_1682.png|['Snowy']|['Moderate']
/data/MWSC/data/all/Snowy/2019-01-09_11-15-11_03600.png|['Snowy']|['Heavy']
/data/MWSC/data/all/Snowy/018_L_1226.png|['Snowy']|['Heavy']
/data/MWSC/data/all/Snowy/027_L_3876.png|['Foggy']|['Light']
/data/MWSC/data/all/Clear/007_L_0568.png|['Clear']|['Light']
/data/MWSC/data/all/Rainy/012_L_1961.png|['Rainy', 'Snowy']|['Moderate']
/data/MWSC/data/all/Rainy/013_L_4899.png|['Rainy']|['Light']
/data/MWSC/data/all/Clear/2018-02-04_10-40-00_00300.png|['Snowy']|['Light']
/data/MWSC/data/all/Clear/HT_VAL_002563_SZ_010.jpg|['Clear']|['Light']
/data/MWSC/data/all/Snowy/025_L_0372.png|['Snowy']|['Moderate']
/data/MWSC/data/all/Clear/HT_TRAIN_002849_SH_000.jpg|['Clear']|['Light']
/data/MWSC/data/all/Clear/GP010606_frame_000920_rgb_ref_anon.png|['Clear']|['Light']
/data/MWSC/data/all/Clear/GOPR0494_frame_000982_rgb_ref_anon.png|['Clear']|['Light']
/data/MWSC/data/all/Snowy/018_L_1264.png|['Snowy']|['Moderate']
/data/MWSC/data/all/Clear/GOPR0477_frame_000025_rgb_ref_anon.png|['Clear']|['Light']
/data/MWSC/data/all/Clear/HT_TRAIN_000504_SH_000.jpg|['Clear']|['Light']
/data/MWSC/data/all/Clear/HT_VAL_002204_SH_010.jpg|['Clear']|['Light']
/data/MWSC/data/all/Snowy/024_L_1835.png|['Snowy']|['Heavy']
/data/MWSC/data/all/Clear/007_L_1414.png|['Clear']|['Light']
/data/MWSC/data/all/Clear/2018-02-07_14-15-57_00350.png|['Snowy']|['Light']
/data/MWSC/data/all/Clear/006_L_2590.png|['Clear']|['Light']
/data/MWSC/data/all/Snowy/018_L_0548.png|['Snowy']|['Moderate']
/data/MWSC/data/all/Rainy/HT_VAL_004266_SH_012.jpg|['Rainy']|['Light']
/data/MWSC/data/all/Snowy/2018-02-12_15-46-51_00960.png|['Snowy']|['Heavy']
/data/MWSC/data/all/Rainy/016_L_1078.png|['Clear']|['Light']
/data/MWSC/data/all/Clear/HT_TRAIN_000174_SH_000.jpg|['Clear']|['Light']
/data/MWSC/data/all/Clear/GP010571_frame_000957_rgb_ref_anon.png|['Clear']|['Light']
/data/MWSC/data/all/Rainy/013_L_6645.png|['Foggy']|['Light']
/data/MWSC/data/all/Clear/GOPR0122_frame_001034_rgb_ref_anon.png|['Clear']|['Light']
/data/MWSC/data/all/Snowy/2019-01-09_12-47-59_00900.png|['Snowy']|['Moderate']
/data/MWSC/data/all/Snowy/024_L_5954.png|['Snowy']|['Heavy']
/data/MWSC/data/all/Clear/GP010475_frame_000050_rgb_ref_anon.png|['Clear']|['Light']
/data/MWSC/data/all/Clear/HT_TRAIN_002237_SH_000.jpg|['Clear']|['Light']
/data/MWSC/data/all/Snowy/017_L_1826.png|['Snowy']|['Light']
